,file_path,paragraph,sentence,entities,labels,position_start,position_end,has_terms,weight
10741,C:\Users\shweata\ethics_statement_corpus_1000\PMC7922326\sections\1_body\1_2__materials_and_methods\1_p.xml,"The current study was approved by the Ethics Committee of First Moscow State Medical University, named after I.M. Sechenov (Sechenov University) under protocol № 08-19 at 5 June 2019. The study was performed in accordance with STROBE guidelines. Seventy-eight participants who were active in amateur (non-professional) running to sustain or improve their health and fitness were included in the study. The inclusion criteria were musculoskeletal system injuries, occurring regularly during routine training, such as joint dislocations and subluxations, ligament sprains or ruptures, bone fractures, bruising, or stiffness. The ages of the surveyed persons was 35.07 ± 5.64 years (range of 22 to 47 years). The participants were split into two age subgroups for a comparative analysis: Group 1 (age 22–35 years), and Group 2 (age 36–47 years).","The current study was approved by the Ethics Committee of First Moscow State Medical University, named after I.M.",the Ethics Committee of First Moscow State Medical University,ORG,34,95,ethics committee of ,1
10778,C:\Users\shweata\ethics_statement_corpus_1000\PMC7922392\sections\1_body\1_2__materials_and_methods\1_p.xml,"A retrospective study of all pregnant women managed between April 2014 and March 2020 in the Department of Obstetrics and Gynecology at Kanazawa University Hospital was conducted. Ultrasound examinations were performed using a GE Voluson E8 with a 2-5-MHz transducer and Aloka Prosound Alpha 6 with a 2-6-MHz transducer. The inclusion criteria were pregnancies presenting with significant fetal ascites. Significant fetal ascites was defined as the presence of fluid in the abdominal cavity accompanied by an increased abdominal circumference  9. Based on a previous report  7, the ultrasound findings of fetal greater omentum were defined as follows: (1) a cyst-like shape with a thin membrane observed as wavy in the ascites, (2) beside the stomach and below the liver, and (3) no blood flow noted on color Doppler. A follow-up ultrasound was performed to assess the amount of ascites, examine the growth of the fetus, and detect any other abnormalities. The prenatal workup for ascites included the maternal blood type and antibody status, and infection screening including parvovirus B19, cytomegalovirus, hepatitis B and C, herpes simplex, rubella, and toxoplasmosis. The need for chromosomal studies of the fetus was suggested in all cases, but consent for testing was not obtained. The method and timing of delivery were determined in individual cases. After delivery, the cause of ascites was assessed based on the characteristics of ascitic fluid including cytology, autopsy, surgical findings, and testing for infections in newborns. Follow-up of infants was available through the Neonatal Intensive care unit. This study was approved by the Medical Ethics Committee of Kanazawa University.",This study was approved by the Medical Ethics Committee of Kanazawa University.,"the Medical Ethics Committee, Kanazawa University","ORG, ORG","27, 59","55, 78",ethics committee of ,1
10815,C:\Users\shweata\ethics_statement_corpus_1000\PMC7922417\sections\1_body\1_2__methods\1_2_1__study_population\1_p.xml,"Before prostate biopsy (minimum 16 cores), 437 subjects were enrolled in a prospective observational study, approved by the hospital ethics committee. Blood specimens were collected according to predetermined standard operating procedure  19. Participants provided written approved consent. Ethical approval for this study was given by the institutional Ethics Committee of the University of Naples Federico II (118/20). Among these, 222 met eligibility criteria for this study: age over 50 years, no prior prostate surgery and biopsy, no bacterial acute or chronic prostatitis, no use of 5-α reductase inhibitors, PSA values between 2 and 20 ng/mL availability of serum samples and corresponding clinical data, and completion of at least a 16-core template biopsy after enrollment. The training cohort included 179 PC patients and the evaluation cohort 43.  Figure 1 shows the summary of included patients.  Table 1 shows descriptive characteristics of the study population.",Ethical approval for this study was given by the institutional Ethics Committee of the University of Naples Federico II (118/20).,Ethics Committee of the University of Naples Federico II,ORG,63,119,ethics committee of ,1
10964,C:\Users\shweata\ethics_statement_corpus_1000\PMC7922576\sections\1_body\1_2__materials_and_methods\1_2_1__ethical_consideratio\1_p.xml,"This study was approved by the Ethics Committee of Hallym University (2019-10-023, approval date: 5 November 2019). Written informed consent was waived by the Institutional Review Board. All analyses adhered to the guidelines and regulations of the Ethics Committee of Hallym University. A detailed description of the Korean National Health Insurance Service-Health Screening Cohort data has been described elsewhere  26.","This study was approved by the Ethics Committee of Hallym University (2019-10-023, approval date: 5 November 2019).",the Ethics Committee of Hallym University,ORG,27,68,ethics committee of ,1
10966,C:\Users\shweata\ethics_statement_corpus_1000\PMC7922576\sections\1_body\1_2__materials_and_methods\1_2_1__ethical_consideratio\1_p.xml,"This study was approved by the Ethics Committee of Hallym University (2019-10-023, approval date: 5 November 2019). Written informed consent was waived by the Institutional Review Board. All analyses adhered to the guidelines and regulations of the Ethics Committee of Hallym University. A detailed description of the Korean National Health Insurance Service-Health Screening Cohort data has been described elsewhere  26.",All analyses adhered to the guidelines and regulations of the Ethics Committee of Hallym University.,the Ethics Committee of Hallym University,ORG,58,99,ethics committee of ,1
11225,C:\Users\shweata\ethics_statement_corpus_1000\PMC7922890\sections\1_body\1_2__materials_and_methods\5_2_5__ethics_statement_con\1_p.xml,The study was approved by the local Ethics Committee of the Justus-Liebig University Giessen (AZ35/20) and patients’ consent was not necessary for this retrospective study. The patients consented that their intraoral pictures and X-ray images may be used anonymously in the publication. All data in the Microsoft Excel spreadsheet were pseudonymized.,The study was approved by the local Ethics Committee of the Justus-Liebig University Giessen (AZ35/20) and patients’ consent was not necessary for this retrospective study.,"Ethics Committee, the Justus-Liebig University Giessen","ORG, ORG","36, 56","52, 92",ethics committee of ,1
11333,C:\Users\shweata\ethics_statement_corpus_1000\PMC7924557\sections\1_body\1_2__materials_and_methods\4_2_4__ethical_statement\1_p.xml,"With respect to the ethical issues, the study was conducted in compliance with the Declaration of Helsinki and the principles of good clinical practice. The authors confirm that the ethical policies of the journal, as noted on the journal’s author guidelines page, have been adhered to. The study was evaluated and approved by the Ethics Committee of the National Relief Hospital (A.O.R.N.)—Ospedali dei Colli of Naples. The study was approved on 26 June 2020 with number 524. We underline that KL-6 was measured only on samples taken routinely for clinical reasons and with the patient’s consent",The study was evaluated and approved by the Ethics Committee of the National Relief Hospital (A.O.R.N.,"the Ethics Committee of, the National Relief Hospital, A.O.R.N.","ORG, ORG, ORG","40, 64, 94","63, 92, 102",ethics committee of ,1
11828,C:\Users\shweata\ethics_statement_corpus_1000\PMC7927398\sections\1_body\1_methods\1_p.xml,"In line with the requirements of the Central Ethics Committee of the German Medical Association  18 and guided by the recommendations for the documentation of ethics case consultations of the working group ""Ethics Advice in Hospitals"" at the Academy for Ethics in Medicine  19, all consultations at UKA are documented case wise. The case documentation form used for this purpose contains all the information collected during a consultation. A template of this form is provided in the Additional file  1. The data for this study were drawn from this documentation, with a total of N = 243 consultations over more than a decade from September 2008 to December 2019.","In line with the requirements of the Central Ethics Committee of the German Medical Association  18 and guided by the recommendations for the documentation of ethics case consultations of the working group ""Ethics Advice in Hospitals"" at the Academy for Ethics in Medicine  19, all consultations at UKA are documented case wise.","the Central Ethics Committee, the German Medical Association, Ethics Advice, the Academy for Ethics in Medicine, UKA","ORG, ORG, ORG, ORG, ORG","33, 65, 209, 240, 303","61, 95, 222, 274, 306",ethics committee of ,1
11961,C:\Users\shweata\ethics_statement_corpus_1000\PMC7928388\sections\1_body\1_methods\1_research_subjects\1_p.xml,"A single-center retrospective review was conducted for pediatric patients with treadmill hand injuries who were admitted to the Burn and Plastic Surgery ward at Children Hospital of Chongqing Medical University from January 1, 2015 to December 31, 2019. The guidelines of the Code of Ethics of the World Medical Association were completely fulfilled (Declaration of Helsinki). Ethics approval was granted by Hospital Ethics Committee of Children Hospital of Chongqing Medical University.",Ethics approval was granted by Hospital Ethics Committee of Children Hospital of Chongqing Medical University.,Hospital Ethics Committee of Children Hospital of Chongqing Medical University,ORG,31,110,ethics committee of ,1
12003,C:\Users\shweata\ethics_statement_corpus_1000\PMC7928388\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Hospital Ethics Committee of Children Hospital of Chongqing Medical University. Written informed consent to participate in this study was provided by the participants legal guardian/next of kin.,The studies involving human participants were reviewed and approved by Hospital Ethics Committee of Children Hospital of Chongqing Medical University.,Hospital Ethics Committee of Children Hospital of Chongqing Medical University,ORG,71,150,ethics committee of ,1
12196,C:\Users\shweata\ethics_statement_corpus_1000\PMC7933223\sections\1_body\1_materials_and_methods\1_patients\1_p.xml,"This retrospective study analyzed the clinical data of patients with DORV complicated by mirror image-dextrocardia and an anomalous coronary artery crossing the RVOT receiving surgical treatment in the Department of Cardiovascular Surgery, the Second Xiangya Hospital of Central South University, Changsha, China. Prior approval from the Research Ethics Committee of the Second Xiangya Hospital was obtained. Preoperative written and informed consent from all participants and their families was obtained. Methods used and applied to the research were carried out under relevant guidelines and regulations. From January 2005 to December 2019, a total of 19 patients underwent corrective surgery. There were 12 male and 7 female patients, with a median age of 4 years (range, 7 months to 15 years) and a median weight of 26 kg (range, 5.8–42 kg). All of the patients had a VSD, 12 cases were subaortic VSD (mainly under aorta), 3 cases were subpulmonary VSD (mainly under pulmonary artery), 3 cases were doubly committed VSD (approximate half under aorta) and 1 case was uncommitted VSD. Twelve patients had pulmonary stenosis, either valvular or subvalvular or both. Associated malformations were shown in  Table 1. All the patients had an coronary artery crossing the RVOT. Different coronary artery variations included the left coronary artery arising anteriorly from the aorta and the anterior descending branch crossing the RVOT ( n = 15), right coronary artery originating from left anterior descending branch and crossing the RVOT ( n = 3), single right coronary artery sinus, major right coronary artery looping around pulmonary artery ( n = 1). Cyanosis was observed in all patients. The typical images of dextrocardia and reversed visceral organs were demonstrated by chest X-ray and CT scanning of the abdomen, respectively ( Figure 1). The diagnosis of DORV and accompanied cardiac malformations were verified by echocardiography, CT angiography, and surgical inspection.  Figure 2 is representative auxiliary examination images of patients in the study.",Prior approval from the Research Ethics Committee of the Second Xiangya Hospital was obtained.,"the Research Ethics Committee, the Second Xiangya Hospital","ORG, ORG","20, 53","49, 80",ethics committee of ,1
12234,C:\Users\shweata\ethics_statement_corpus_1000\PMC7933223\sections\1_body\1_materials_and_methods\4_ethics_statement\1_p.xml,Prior approval from the Research Ethics Committee of the Second Xiangya Hospital was obtained. Preoperative written and informed consent from all participants and their families was obtained.,Prior approval from the Research Ethics Committee of the Second Xiangya Hospital was obtained.,"the Research Ethics Committee, the Second Xiangya Hospital","ORG, ORG","20, 53","49, 80",ethics committee of ,1
12282,C:\Users\shweata\ethics_statement_corpus_1000\PMC7933223\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Research Ethics Committee of the Second Xiangya Hospital. Written informed consent to participate in this study was provided by the participants legal guardian/next of kin. Written informed consent was obtained from the minor(s) legal guardian/next of kin for the publication of any potentially identifiable images or data included in this article.,The studies involving human participants were reviewed and approved by Research Ethics Committee of the Second Xiangya Hospital.,"Research Ethics Committee, the Second Xiangya Hospital","ORG, ORG","71, 100","96, 127",ethics committee of ,1
12362,C:\Users\shweata\ethics_statement_corpus_1000\PMC7934006\sections\1_body\2_materials_and_methods\1_study_design_and_patient_\1_p.xml,"A prospective, single-center, non-randomized clinical trial was conducted at the endoscopy center of Shengjing Hospital of China Medical University between November 2014 and October 2016. This study was approved by the Institutional Review Board and Ethics Committee of China Medical University. The trial registration number is ChiCTR-OPC-14005459.",This study was approved by the Institutional Review Board and Ethics Committee of China Medical University.,"the Institutional Review Board, Ethics Committee of China Medical University","ORG, ORG","27, 62","57, 106",ethics committee of ,1
12457,C:\Users\shweata\ethics_statement_corpus_1000\PMC7935116\sections\1_body\1_materials_and_methods\1_subjects_and_data_collect\1_p.xml,"Ten patients who were clinically or pathological diagnosed with DKD in Guangdong Provincial People’s Hospital from May 2018 to March 2019 and fulfilled the inclusion criteria were enrolled in this prospective, crossover, open-label study. DKD is clinical diagnosed in both type 1 and type 2 diabetes as the presence of persisting severely elevated albuminuria of >300 mg/24h, or a urine albumin-to-creatinine ratio (uACR) of >300 mg/gCr, with concurrent presence of diabetic retinopathy and absence of signs of other forms of renal disease. Moreover, DKD could also be pathologically diagnosed with morphological changes such as mesangial expansion and thickening of the glomerular and tubular basement membranes, as well as typical glomerulosclerosis with nodular mesangial lesions (Kimmelstiel–Wilson lesions). Among ten DKD patients enrolled, five patients were clinically diagnosed while five patients met pathological diagnostic criteria  16, 17. The inclusion criteria of this study were as follows: patients were over 14 years old; patients with good treatment compliance; urine protein creatinine ratio (uPCR) ≥500 mg/g Cr; patients signed written informed consent. Those who met the following criteria were excluded: eGFR ≤30 mL/min/1.73m 2, previous intolerance or allergy to hydrochlorothiazide (HCTZ), patients with gout attack history within half a year, patients with active infectious diseases, patients with severe cardiopulmonary disease and central nervous system dysfunction, patients with a history of malignancy, patients’ life expectancy was less than 1 year, patients were pregnant, lactating or without contraceptive measures, patients who participated in other clinical trials within 3 months before enrollment, patients who were using immunosuppressive agents or glucocorticoids within 12 weeks before enrollment, patients failed to sign written informed consent or were unwilling to comply with the research protocol approved by the researcher. The procedures of this study were performed in accordance with medical ethics and the Helsinki Declaration and approved by the Ethics Committee of Guangdong Provincial People’s Hospital (No. GDREC2017318H). The registered clinical trial number was NCT03170336.",The procedures of this study were performed in accordance with medical ethics and the Helsinki Declaration and approved by the Ethics Committee of Guangdong Provincial People’s Hospital (No.,the Ethics Committee of Guangdong Provincial People’s Hospital,ORG,123,185,ethics committee of ,1
12527,C:\Users\shweata\ethics_statement_corpus_1000\PMC7939572\sections\1_body\1_methods\1_study_design_and_protocol\1_p.xml,"The present work constitutes a multicenter study at two nephrological outpatient offices in Berlin, Germany. 143 patients with stable CKD as well as 29 healthy subjects without any medical history serving as control were enrolled. The study population has been described in a former study  18. CKD was defined according to KDIGO criteria  19. CKD was regarded ‘stable’ if the glomerular filtration rate (eGFR, MDRD formula) differed ≤5 ml/min per 1.73 m 2 within the past 12 months. We refrained from including subjects with a higher deterioration of eGFR in order to reliably exclude any states of acute on chronic kidney injury. Exclusion criteria were obstructive uropathy, urothelial carcinoma, metastatic cancer, and pyuria. Etiological entities were categorized in primarily inflammatory renal diseases (glomerulonephritis, vasculitis; group 1, IRD) and primarily non-inflammatory diseases (diabetic nephropathy, hypertensive nephropathy, autosomal-dominant polycystic kidney disease ADPKD, and ‘others’; group 2, NIRD). This categorization was done despite the fact that inflammatory mechanisms are of relevance in the pathogenesis of these entities as well. The mechanisms, however, can contribute to the progression of the diseases but do not initiate them and do not necessitate immunosuppression. Glomerulonephritis/vasculitis comprised subjects with lupus nephritis, crescentic glomerulonephritis due to polyangiitis with granulomatosis, membranous glomerulonephritis, IgA-nephropathy and mesangioproliferative glomerulonephritis in Schönlein–Henoch purpura, focal segmental glomerulosclerosis, and glomerulonephritis of unknown origin. This study was approved by the local ethics committee of the Charité – University Hospital Berlin (EA4/043/09) and by the ethics committee of the Ruhr-University of Bochum (5019-14). All patients provided written informed consent.",This study was approved by the local ethics committee of the Charité – University Hospital Berlin (EA4/043/09) and by the ethics committee of the Ruhr-University of Bochum (5019-14).,the Ruhr-University of Bochum,ORG,142,171,ethics committee of ,1
12603,C:\Users\shweata\ethics_statement_corpus_1000\PMC7941860\sections\1_body\2_materials_and_methods\1_patients\1_p.xml,"This study is a retrospective analysis of the prospectively maintained database of sarcoma patients at Liaoning Cancer Hospital and Institute. In this study, we included patients undergoing resection of primary localized EGJ-GIST involving Z-line from January 2009 to December 2017. All cases were diagnosed as GIST after preoperative endoscopic ultrasound-guided fine needle aspiration or core needle biopsy. Patients were excluded if they underwent concomitant resection for other malignancies,  e.g., patients with incidentally discovered GISTs in specimens resected for gastric, esophageal, or pancreatic carcinomas. The data of the patients collected were as follows: Clinical and pathologic findings, intra-operative and postoperative outcomes, esophageal 24-h pH parameters, the 36-item short-form health survey (SF-36), and disease-free survival (DFS). This study was approved by the Ethics Committee of Cancer Hospital of China Medical University (Liaoning Cancer Hospital and Institute) (ethics number: 20190461). Written informed consent was obtained from each patient at our center. The decision to perform CR or PG was taken by the treating surgeon based on the preoperative endoscopy and intraoperative findings.",This study was approved by the Ethics Committee of Cancer Hospital of China Medical University (Liaoning Cancer Hospital and Institute) (ethics number: 20190461).,the Ethics Committee of Cancer Hospital of China Medical University (Liaoning Cancer Hospital,ORG,27,120,ethics committee of ,1
12704,C:\Users\shweata\ethics_statement_corpus_1000\PMC7941865\sections\1_body\2_materials_and_methods\4_ethics_approval\1_p.xml,The authors are accountable for all aspects of the work in ensuring that questions related to the accuracy or integrity of any part of the work are appropriately investigated and resolved. The study was conducted in accordance with the Declaration of Helsinki and the Harmonized Tripartite Guideline for Good Clinical Practice from the International Conference on Harmonization. The study was approved by the ethics committee of Peking University Third Hospital (IRB00006761-M2020060).,The study was approved by the ethics committee of Peking University Third Hospital (IRB00006761-M2020060).,Peking University Third Hospital,ORG,50,82,ethics committee of ,1
12887,C:\Users\shweata\ethics_statement_corpus_1000\PMC7942050\sections\1_body\2_materials_and_methods\1_patients\1_p.xml,The medical records of 147 adult patients who underwent deceased donor LT at The First Hospital of Jilin University from September 2011 to December 2016 were retrospectively reviewed. All patients received liver grafts from deceased donors. The arterial anastomosis method and details of the diagnosis and treatment of HAT were collated. The long-term outcomes of these HAT patients were also recorded. The median follow-up period was 26 mo (range: 23 to 30 mo). This study was approved by the Ethics Committee of the First Hospital of Jilin University.,This study was approved by the Ethics Committee of the First Hospital of Jilin University.,"the Ethics Committee, the First Hospital of Jilin University","ORG, ORG","27, 51","47, 89",ethics committee of ,1
12968,C:\Users\shweata\ethics_statement_corpus_1000\PMC7942054\sections\1_body\2_materials_and_methods\1_p.xml,"A retrospective analytical study was performed in 5015 consecutive patients who were hospitalized in the Otolaryngology Department of our hospital and underwent tonsillectomy from January 2009 to December 2018. There were 3443 males and 1572 females, aged from 1.92 to 17.08 years. The study was reviewed and approved by the Ethics Committee of Childrens Hospital, Zhejiang University School of Medicine (2020-IRB-061). Written informed consents were obtained from the parents of patients. Tonsillectomy was performed in children who suffered from tonsillar infection and/or tonsillar enlargement leading to airway obstruction and sleep disorders.","The study was reviewed and approved by the Ethics Committee of Childrens Hospital, Zhejiang University School of Medicine (2020-IRB-061).","the Ethics Committee of Childrens Hospital, Zhejiang University School of Medicine",ORG,39,122,ethics committee of ,1
13018,C:\Users\shweata\ethics_statement_corpus_1000\PMC7942056\sections\1_body\2_materials_and_methods\1_study_design_and_particip\1_p.xml,"This was a retrospective study of patients diagnosed with COVID-19 in January and February 2020 at the Department of Infection, Shantou Central Hospital. The study was approved by the ethics committee of Shantou Central Hospital (2020)-Research No.003. The need for individual consent was waived because of the retrospective nature of the study.",The study was approved by the ethics committee of Shantou Central Hospital (2020)-Research No.003.,Shantou Central Hospital,ORG,50,74,ethics committee of ,1
13594,C:\Users\shweata\ethics_statement_corpus_1000\PMC7953406\sections\1_body\2_materials_and_methods\1_study_population_and_data\1_p.xml,"A total of 69 very low-weight preterm neonates with echocardiography-confirmed PDA screened fetal congenital heart defects who were admitted to the neonatal intensive care unit of the Hangzhou First People’s Hospital from January 2018 to March 2020 were enrolled in this study. During the same period, 89 cases without PDA were included as the control group. The inclusion criteria were: Gestational age less than 37 wk; birth weight less than 1500 g; and admission to the neonatal intensive care unit of our hospital within 24 h of birth. The exclusion criteria were: Congenital malformations and other chromosomal abnormalities identified before birth; and lung diseases caused by definite pathogenic factors (including meconium aspiration syndrome, pulmonary hemorrhage, and pneumonia,  etc.). The study protocol was approved by the Ethics Committee of the Hangzhou First People’s Hospital in China (approval no. 2018-30-1) and conducted in accordance with the tenets of the Declaration of Helsinki. Informed consent was obtained from the guardians of the neonates prior to inclusion.",The study protocol was approved by the Ethics Committee of the Hangzhou First People’s Hospital in China (approval no.,"the Ethics Committee, China","ORG, GPE","35, 99","55, 104",ethics committee of ,1
13676,C:\Users\shweata\ethics_statement_corpus_1000\PMC7954318\sections\1_body\1_materials_and_methods\5_ethics_approval_and_conse\1_p.xml,"Approval from the Institutional review board of our university hospital was obtained (IRB Centre Hospitalier Universitaire Régional Caremeau, Nîmes, France N°15/06.07). All procedures performed in the study were in accordance with the ethical standards and with the 1964 Helsinki Declaration and its later amendments or comparable ethical standards. Written informed consents have been obtained from all the patients included. No identification data are disclosed.","Approval from the Institutional review board of our university hospital was obtained (IRB Centre Hospitalier Universitaire Régional Caremeau, Nîmes, France N°15/06.07).","Institutional, IRB Centre Hospitalier Universitaire Régional Caremeau, Nîmes","ORG, ORG, GPE","18, 86, 142","31, 140, 147",institutional review board of ,1
13780,C:\Users\shweata\ethics_statement_corpus_1000\PMC7954695\sections\1_body\3_method\1_procedure\1_p.xml,"Upon receiving ethical approval from the Human Research and Ethics Committee of Ramapo College of New Jersey (IRB Protocol #585), we recruited 169 mental health professionals through three dedicated professional listservs (Nonaffiliated with organizations) designed for social workers, psychologists, and art therapists. During the month of September 2020, we sent out a recruitment email that included a link to the survey. All participants signed an electronic informed consent form that included a statement of the ethics approval for the study as well as the goals of the research. One hundred and sixty-nine therapists agreed to participate in an online survey that included demographic questions as well as questions related to their decisions to continue with telepsychotherapy sessions or return to in-person sessions. At the end of the online survey, the participants were given the option of participating in a semi-structured interview. Each participant who provided their email address received a separate email in response inviting them to an interview. A total of 17 therapists participated in a telephone interview with the researchers.","Upon receiving ethical approval from the Human Research and Ethics Committee of Ramapo College of New Jersey (IRB Protocol #585), we recruited 169 mental health professionals through three dedicated professional listservs (Nonaffiliated with organizations) designed for social workers, psychologists, and art therapists.","the Human Research and Ethics Committee of Ramapo College of, New Jersey, IRB","ORG, GPE, ORG","37, 98, 110","97, 108, 113",ethics committee of ,1
13868,C:\Users\shweata\ethics_statement_corpus_1000\PMC7956181\sections\1_body\1_2__methods\5_2_4__ethics_statement_and\1_p.xml,"The experiment was permitted by the Institutional Review Board of National Chiao Tung University (NCTU-REC-109-012E). A total of six healthy subjects (three males and three females) participated in the experiment, with the age of 21 ± 2 years, the height of 168 ± 9 cm, the weight of 70 ± 18 kg. The measurement experiments were performed on the neck of the participants by medical tape (Nexcare™ Micropore 17003, 3M™, St. Paul, MN, USA). In the installation of bio-impedance electrodes, two pieces of tape with the same length of 8 cm were used to attach the end of the electrodes to provide a consistent pressure during the bio-impedance measurement. All subjects agreed with the research ethics and were instructed to remain in a sitting position. The experimental flow chart was demonstrated to investigate the influence of measurement parameters (excitation frequency, electrode area, electrode spacing, and physiological location) on IPG resolution, as shown in  Figure 5.",The experiment was permitted by the Institutional Review Board of National Chiao Tung University (NCTU-REC-109-012E).,the Institutional Review Board of National Chiao Tung University (NCTU-REC-109-012E,ORG,32,115,institutional review board of ,1
14190,C:\Users\shweata\ethics_statement_corpus_1000\PMC7956546\sections\1_body\3_4__materials_and_methods\2_4_2__animal_ethics_and_bo\1_p.xml,"The study was approved by the ethics committee of the animal handling, Jeonbuk National University, South Korea (CBNU 2020-050; 6 May 2020). The tibiae and femur of 6-week male ICR mice were used to obtain BMMs. In addition, they were seeded with α-MEM, 2 mM L-glutamate, 10% FBS, 100 U/mL penicillin, and 100 μg/mL streptomycin in 5% CO 2 at 37 °C, 30 ng/mL M-CSF for 3 days. After 3 days, 1X PBS was used to wash the BMM cells, and adherent cells were used for further experiments.","The study was approved by the ethics committee of the animal handling, Jeonbuk National University, South Korea (CBNU 2020-050; 6 May 2020).","Jeonbuk National University, South Korea","ORG, GPE","71, 100","98, 111",ethics committee of ,1
14544,C:\Users\shweata\ethics_statement_corpus_1000\PMC7957805\sections\1_body\1_2__methods\5_2_5__ethics_statement\1_p.xml,"The Institutional Review Board on Biomedical Science Research/IRB-BM, Academia Sinica, Taiwan, and the Ethics and Governance Council of the TWB, Taiwan, provided ethical approval for the TWB. Each participant provided written informed consent in accordance with institutional requirements, and this study was conducted in accordance with the principles of the Declaration of Helsinki. In addition, the Institutional Review Board of Kaohsiung Medical University Hospital approved this study (KMUHIRB-E(I)-20180242).","In addition, the Institutional Review Board of Kaohsiung Medical University Hospital approved this study (KMUHIRB-E(I)-20180242).",the Institutional Review Board of Kaohsiung Medical University Hospital,ORG,13,84,institutional review board of ,1
14609,C:\Users\shweata\ethics_statement_corpus_1000\PMC7957875\sections\1_body\1_2__materials_and_methods\6_2_6__ethical_aspects\1_p.xml,"The study plan was originally approved by the Medical Ethics Committee and the Hospital Ethics Committee of Pirkanmaa Hospital District, Tampere, Finland (§R09231/2011) and recorded in the annals of the Northern Finland Hospital District, Oulu, Finland. The Medical Ethics Committee of Northern Finland Hospital District, Oulu, Finland approved the extension of the study (30 January 2019, 112/2018). Permission for the study was also approved by Päijät-Häme Central Hospital for the patients treated and re-examined at that hospital (6 November 2019, D/2219/13.00.00.00/2019). The Finnish National Supervisory Authority for Welfare and Health (Valvira, Helsinki, Finland) approved the implant in question for the study purpose in this research-intended study. This study was re-registered at ClinicalTrials.gov (NCT04385745), while the primary registration did not cover the extension of the study period. Written informed consent was obtained from eligible paediatric patients and/or their guardians or the adult patients themselves.","The study plan was originally approved by the Medical Ethics Committee and the Hospital Ethics Committee of Pirkanmaa Hospital District, Tampere, Finland (§R09231/2011) and recorded in the annals of the Northern Finland Hospital District, Oulu, Finland.","the Medical Ethics Committee, the Hospital Ethics Committee of Pirkanmaa Hospital District, Tampere, Finland, the Northern Finland Hospital District, Oulu, Finland","ORG, ORG, GPE, GPE, ORG, GPE, GPE","42, 75, 137, 146, 199, 239, 245","70, 135, 144, 153, 237, 243, 252",ethics committee of ,1
14610,C:\Users\shweata\ethics_statement_corpus_1000\PMC7957875\sections\1_body\1_2__materials_and_methods\6_2_6__ethical_aspects\1_p.xml,"The study plan was originally approved by the Medical Ethics Committee and the Hospital Ethics Committee of Pirkanmaa Hospital District, Tampere, Finland (§R09231/2011) and recorded in the annals of the Northern Finland Hospital District, Oulu, Finland. The Medical Ethics Committee of Northern Finland Hospital District, Oulu, Finland approved the extension of the study (30 January 2019, 112/2018). Permission for the study was also approved by Päijät-Häme Central Hospital for the patients treated and re-examined at that hospital (6 November 2019, D/2219/13.00.00.00/2019). The Finnish National Supervisory Authority for Welfare and Health (Valvira, Helsinki, Finland) approved the implant in question for the study purpose in this research-intended study. This study was re-registered at ClinicalTrials.gov (NCT04385745), while the primary registration did not cover the extension of the study period. Written informed consent was obtained from eligible paediatric patients and/or their guardians or the adult patients themselves.","The Medical Ethics Committee of Northern Finland Hospital District, Oulu, Finland approved the extension of the study (30 January 2019, 112/2018).","The Medical Ethics Committee of Northern Finland Hospital District, Oulu, Finland","ORG, GPE, GPE","0, 68, 74","66, 72, 81",ethics committee of ,1
14739,C:\Users\shweata\ethics_statement_corpus_1000\PMC7958315\sections\1_body\1_2__materials_and_methods\1_2_1__origin_of_samples__s\1_p.xml,"The sample material for analyses within this feasibility study was obtained during the course of two recently published in-vivo studies  23, 35. Both of them were two-arm blinded interventional clinical studies approved by the ethics committee of the local Medical Faculty (ethics committee vote number 010-15-26012015, 368-15-05102015) and registered in the German Clinical Trials Register. Overall, twenty-one patients were included in the present investigation according to the criteria given in the consort diagram ( Supplementary Figure S1). Each study participant presented two posterior teeth (twenty-eight molars, fourteen premolars in total) with deep primary carious lesions (radiographic extent ≥ R3b). Study participants gave written informed consent after being informed verbally and in writing about the aim of the respective study and its course. The first study (group 1) started in March 2016 and ended in May 2017. Group 2 was recruited within the second study between January 2017 and April 2018.","Both of them were two-arm blinded interventional clinical studies approved by the ethics committee of the local Medical Faculty (ethics committee vote number 010-15-26012015, 368-15-05102015) and registered in the German Clinical Trials Register.",the German Clinical Trials Register,ORG,210,245,ethics committee of ,1
14837,C:\Users\shweata\ethics_statement_corpus_1000\PMC7959360\sections\1_body\1_materials_and_methods\3_ethics_conduct\1_p.xml,"The study was conducted in accordance with the principles expressed in the 2008 Declaration of Helsinki. The Ethics Committee of Edogawa Hospital approved the study protocol and waived the need for written informed consent because the data were analyzed anonymously for this retrospective analysis based on information stored in the hospital (approved number: 2018–30, approval date: October 18, 2018). The trial is registered on UMIN-CTR, identifier UMIN000041193.","The Ethics Committee of Edogawa Hospital approved the study protocol and waived the need for written informed consent because the data were analyzed anonymously for this retrospective analysis based on information stored in the hospital (approved number: 2018–30, approval date: October 18, 2018).",The Ethics Committee of Edogawa Hospital,ORG,0,40,ethics committee of ,1
