,parsed,has_terms,weight,sentences,entities,labels,position_start,position_end,sentence_has_terms
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7696434\sections\1_body\3_4__materials_and_methods\3_4_3__coculture_of_human_a\1_p.xml,"ASCs from freshly harvested surgical waste were isolated using a previously described method [  54 ]. Briefly, tissue samples were obtained as certified by the Institutional Review Board of Tri-Service General Hospital, Taipei, Taiwan, R.O.C. (IRB approval number: 2-105-05-150). The adipose tissues were processed become small pieces and then incubated with digesting medium in DMEM (Gibco-Invitrogen, Carlsbad, CA, USA) containing 1% penicillin/streptomycin (Merck, Darmstadt, Germany), 0.1% glucose Ferak, Berlin, Germany), and 0.1% collagenase (Sigma-Aldrich, St-Louis, MO, USA) at 37 °C in 5% CO  2  for 24–36 h according to the cells attachment. The primary culture of ASCs (supplied by Dr. Cherng) were cultured in a keratinocyte serum-free medium (KSFM; Life Technologies Ltd., Paisley, Scotland, UK), antioxidants N-acetyl-cysteine and L-ascorbic acid-2-phosphate (Sigma, St. Louis, MO, USA) supplemented with a 10% fetal bovine serum (FBS; Hyclone, Logan, UT, USA) in a 37 °C incubator with humidified air containing 5% CO  2 . To approach confluency, each generation lasted up to 2–3 days during their growth. The cells were then seeded at 5 × 10  4  cells/well in 6-well plates for further evaluation.",['Institutional Review Board of'],1,"['Briefly, tissue samples were obtained as certified by the Institutional Review Board of Tri-Service General Hospital, Taipei, Taiwan, R.O.C. (IRB approval number: 2-105-05-150).']","[[the Institutional Review Board of Tri-Service General Hospital, Taipei, Taiwan, IRB]]","[['ORG', 'GPE', 'GPE', 'ORG']]","[[54, 118, 126, 142]]","[[116, 124, 132, 145]]",[['Institutional Review Board of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7716420\sections\1_body\1_materials_and_methods\1_\1_animal_grouping\1_p.xml,"A total of 24 Sprague-Dawley rats (female; weight, 120±20 g; age, 6 weeks) were purchased from Beijing Vital River Laboratory Animal Technology Co., Ltd. Rats were maintained in a clean-grade room under controlled temperature and lighting conditions with a 12-h light/dark photoperiod at 19–23°C and 40–60% humidity in the Animal Center of Kunming Medical University. The diet and drinking water of the rats were not restricted. In total, five rats were kept per cage. All animal experiments were approved by the Animals Ethics Committee of The First People's Hospital of Kunming and the Guide for the Care and Use of Laboratory Animals.",['Ethics Committee of'],1,"[""All animal experiments were approved by the Animals Ethics Committee of The First People's Hospital of Kunming and the Guide for the Care and Use of Laboratory Animals.""]","[[the Animals Ethics Committee, Kunming]]","[['ORG', 'GPE']]","[[40, 103]]","[[68, 110]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7716420\sections\2_back\4_ethics_approval_and_conse\1_p.xml,The animal experiments were approved by the Animals Ethics Committee of The First People's Hospital of Kunming and in accordance with the Guide for the Care and Use of Laboratory Animals.,['Ethics Committee of'],1,"[""The animal experiments were approved by the Animals Ethics Committee of The First People's Hospital of Kunming and in accordance with the Guide for the Care and Use of Laboratory Animals.""]","[[the Animals Ethics Committee, Kunming, the Guide for the Care and Use of Laboratory Animals]]","[['ORG', 'GPE', 'ORG']]","[[40, 103, 134]]","[[68, 110, 186]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7724846\sections\2_back\6_notes.xml," Ethics approval and consent to participate  This study was approved by the Research and Ethical Committee of the Shandong Provincial Hospital Affiliated to Shandong First Medical University, China, basing on the 1964 Helsinki Declaration and its later amendments. ",['Ethical Committee of'],1,"['This study was approved by the Research and Ethical Committee of the Shandong Provincial Hospital Affiliated to Shandong First Medical University, China, basing on the 1964 Helsinki Declaration and its later amendments.']","[[the Research and Ethical Committee, the Shandong Provincial Hospital Affiliated, Shandong First Medical University, China]]","[['ORG', 'ORG', 'ORG']]","[[27, 65, 112]]","[[61, 108, 152]]",[['Ethical Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7724848\sections\1_body\1_materials_and_methods\1_isolation__culture_and_id\1_p.xml,"The primary teeth were all collected from the child patients from the Department of Children’s Stomatology, the Affiliated Stomatology Hospital, Guangzhou Medical University (KY2019008). The written and informed consents were obtained from the parents and the study was approved by the Research Ethics Committee of Guangzhou Medical University. The inclusion criteria for the primary tooth were: 6–8 years old, lower primary tooth, root resorption less than 1/3, no dental cavities, and no periapical disease. There was no history of systemic and hereditary diseases in the child donors.",['Ethics Committee of'],1,['The written and informed consents were obtained from the parents and the study was approved by the Research Ethics Committee of Guangzhou Medical University.'],"[[the Research Ethics Committee, Guangzhou Medical University]]","[['ORG', 'ORG']]","[[95, 128]]","[[124, 156]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7724848\sections\2_back\4_notes.xml," Ethics approval and consent to participate  The study was approved by the Research Ethics Committee of Guangzhou Medical University (KY2019008, in 2019.02.22). The written informed consents were obtained from the parents of the donor to conduct this study. ",['Ethics Committee of'],1,"['The study was approved by the Research Ethics Committee of Guangzhou Medical University (KY2019008, in 2019.02.22).']","[[the Research Ethics Committee, Guangzhou Medical University]]","[['ORG', 'ORG']]","[[26, 59]]","[[55, 87]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7727137\sections\2_back\7_notes.xml," Ethics approval and consent to participate  This study was approved by the Ethics Committee of Ruijin Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, in China. ",['Ethics Committee of'],1,"['This study was approved by the Ethics Committee of Ruijin Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, in China.']","[[the Ethics Committee of Ruijin Hospital Affiliated, Shanghai, Jiao Tong University School of Medicine, China]]","[['ORG', 'GPE', 'ORG', 'GPE']]","[[27, 81, 90, 134]]","[[77, 89, 129, 139]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7727202\sections\1_body\1_methods\5_in_vivo_experiments\1_p.xml,"This study was carried out in strict accordance with the recommendations of the Guide for the Care and Use of Laboratory Animals of the National Institutes of Health. The experimental protocol was previously approved by the Ethics Committee of FAMERP Medical School (São Jose do Rio Preto, Brazil—permit number: 001-001788/2017). All surgeries were performed under anesthesia, and all efforts were made to minimize animal suffering. Overdose anesthetic (sodium pentobarbital) was the euthanasia method in this study.",['Ethics Committee of'],1,"['The experimental protocol was previously approved by the Ethics Committee of FAMERP Medical School (São Jose do Rio Preto, Brazil—permit number: 001-001788/2017).']","[[the Ethics Committee of FAMERP Medical School (São Jose, Brazil]]","[['ORG', 'GPE']]","[[53, 123]]","[[108, 129]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7727202\sections\2_back\6_notes.xml," Ethics approval and consent to participate  This study was carried out after approval by the Animal Ethics Committee of the Medical School of São José do Rio Preto (São Jose do Rio Preto, Brazil—permit number for animal experiments: 001-001788/2017), the Research Ethics Committee of the Medical School of São José do Rio Preto (São Jose do Rio Preto, Brazil—permit number for experiments with human kidney samples: 1.021.915), and the Ethics Advisory Committee of the São Paulo University (São Paulo, Brazil—permit number for experiments with human cells: 1199-0079-10/2018), in accordance with current standards for research involving animals and human beings. Regarding the experiments with human samples, all patients provided informed written consent, and the study complied with the Declarations of Helsinki and Istanbul. ","['Ethics Committee of', 'Ethics Committee of']",2,"['This study was carried out after approval by the Animal Ethics Committee of the Medical School of São José do Rio Preto', '(São Jose do Rio Preto, Brazil—permit number for animal experiments: 001-001788/2017), the Research Ethics Committee of the Medical School of São José do Rio Preto']","[[the Animal Ethics Committee, the Medical School of São José], [Brazil, the Research Ethics Committee, the Medical School of São José]]","[['ORG', 'ORG'], ['GPE', 'ORG', 'ORG']]","[[45, 76], [24, 87, 120]]","[[72, 106], [30, 116, 150]]","[['Ethics Committee of'], ['Ethics Committee of']]"
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7730395\sections\1_body\1_materials_and_methods\10_collagenase_induced_oa_mo\1_p.xml,"Six-week-old male C57BL/6J mice were anesthetized with sodium pentobarbital (1% (m/v), 8 mL/kg) and randomly distributed into four groups: control (  n  = 5), OA (  n  = 6), BMSC-EXOs treatment (  n  = 6), and pBMSC-EXOs treatment (  n  = 6). After anesthesia, collagenase VII (  Clostridium histolyticum , Sigma-Aldrich, USA) was used to create the OA model according to the described protocol   28  . In the control group, the knee joints of the mice were injected with 10 μL saline intra-articularly through the patellar ligament. In the other groups, 10 μL of saline with collagenase was injected into the knee joints in the same way. For the therapeutic experiment, we injected saline, BMSC-EXOs, and pBMSC-EXOs into the OA, BMSC-EXOs, and pBMSC-EXOs groups, respectively, on days 7, 14, and 21. The mice were euthanized for further histology analysis on day 28. All operations were performed under protocols approved by the Ethics Committee of Soochow University and the international guidelines for animal experimentation (approval No. SUDA20200707A02).",['Ethics Committee of'],1,['All operations were performed under protocols approved by the Ethics Committee of Soochow University and the international guidelines for animal experimentation (approval No. SUDA20200707A02).'],[[the Ethics Committee of Soochow University]],[['ORG']],[[58]],[[100]],[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7730395\sections\1_body\1_materials_and_methods\1_primary_cell_cultures\2_chondrocytes\2_p.xml,"All the cells used were analyzed between passage 3 and 5. The use of the pBMSCs, BMSCs, and chondrocytes was approved by the Ethics Committee of Soochow University (approval No. SUDA20200707H01).",['Ethics Committee of'],1,"['The use of the pBMSCs, BMSCs, and chondrocytes was approved by the Ethics Committee of Soochow University (approval No. SUDA20200707H01).']","[[BMSCs, the Ethics Committee of Soochow University]]","[['ORG', 'ORG']]","[[23, 63]]","[[28, 105]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7730800\sections\1_body\3_4__materials_and_methods\1_4_1__cell_isolation_and_c\1_p.xml,"The study was performed after all patients had provided written informed consent, which was approved by the institutional ethics committee of the Faculty of Medicine, Tokyo Medical University, Japan (approval No. T2019-0142, approved on 2 November 2019). DPSCs were collected from dental pulp of wisdom teeth from six healthy patients (18–29 years old) at Tokyo Medical University Hospital. The dental pulp was digested in 3 mg/mL collagenase type I (Sigma-Aldrich, Darmstadt, Germany) for 45 min at 37 °C. Single cell suspensions were obtained by passing the cells through a 70-μm strainer. The cells were seeded on 100-mm dishes at 1 × 10  5  cells each and cultured in alpha minimum essential medium (αMEM; Gibco/BRL, Cheshire, UK) supplemented with 15% fetal bovine serum (FBS; Biowest, Nuaillé, France) and 1% penicillin-streptomycin-amphotericin B suspension (PSA; WAKO Pure Chemical Industries, Osaka, Japan). Cells were passaged at 70% confluence. DPSCs between passage 3 and 5 were used in all experiments. DPSCs were transferred to 12-well plates (BD, Franklin Lakes, NJ, USA) and an Upcell (Cell Seed, Tokyo, Japan), and cultured in normal medium (NM) (αMEM supplemented with 10% FBS and 1% PSA), OM (αMEM supplemented with 10% FBS, 1% PSA, 10 nM dexamethasone (Dex; Wako Pure Chemical Industries, Osaka, Japan), 10 mM β- glycerophosphate (β-GP; Sigma-Aldrich, Darmstadt, Germany), and 100 μM L-ascorbate-2-phosphate (AsAp; Wako Pure Chemical Industries, Osaka, Japan)), or osteogenic medium with TH (Tokyo Chemical Industry, Tokyo, Japan) at the optimal concentration of 1 × 10  −6  M as described previously [  16 ].",['ethics committee of'],1,"['The study was performed after all patients had provided written informed consent, which was approved by the institutional ethics committee of the Faculty of Medicine, Tokyo Medical University, Japan (approval']","[[the Faculty of Medicine, Tokyo Medical University, Japan]]","[['ORG', 'ORG', 'GPE']]","[[142, 167, 193]]","[[165, 191, 198]]",[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7730800\sections\1_body\3_4__materials_and_methods\6_4_6__transplantation_of_a\1_p.xml,"Animal experiments were performed in accordance with a protocol approved by the Animal Care and Use Committee of the Faculty of Medicine, Tokyo Medical University.",['Animal Care and Use Committee of'],1,"['Animal experiments were performed in accordance with a protocol approved by the Animal Care and Use Committee of the Faculty of Medicine, Tokyo Medical University.']",[[Tokyo Medical University]],[['ORG']],[[138]],[[162]],[['Animal Care and Use Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7733281\sections\1_body\1_methods\1_study_design_and_patients\1_p.xml,"This retrospective study was performed following the ethical policies of the Sun Field Clinic in Tokyo, Japan, and were approved by its related Ethics Committee of the World Academy of Anti-Aging and Regenerative Medicine (approval No. 4-001). In addition, written informed consent and consent to publish had been obtained from the patients before performing the procedures. Inclusion and exclusion criteria were as follows:",['Ethics Committee of'],1,"['This retrospective study was performed following the ethical policies of the Sun Field Clinic in Tokyo, Japan, and were approved by its related Ethics Committee of the World Academy of Anti-Aging and Regenerative Medicine (approval No. 4-001).']","[[the Sun Field Clinic, Tokyo, Japan, Ethics Committee of, the World Academy of Anti-Aging, Regenerative Medicine]]","[['ORG', 'GPE', 'GPE', 'ORG', 'ORG', 'ORG']]","[[73, 97, 104, 144, 164, 200]]","[[93, 102, 109, 163, 195, 221]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7733281\sections\2_back\6_notes.xml," Ethics approval and consent to participate  This retrospective study was performed following the ethical policies of the Sun Field Clinic in Tokyo, Japan, and was approved by its related Ethics Committee of the World Academy of Anti-Aging and Regenerative Medicine (approval No. 4-001). Written informed consent had been obtained from the patients before performing the procedures. ",['Ethics Committee of'],1,"['This retrospective study was performed following the ethical policies of the Sun Field Clinic in Tokyo, Japan, and was approved by its related Ethics Committee of the World Academy of Anti-Aging and Regenerative Medicine (approval No. 4-001).']","[[the Sun Field Clinic, Tokyo, Japan, Ethics Committee of, the World Academy of Anti-Aging, Regenerative Medicine]]","[['ORG', 'GPE', 'GPE', 'ORG', 'ORG', 'ORG']]","[[73, 97, 104, 143, 163, 199]]","[[93, 102, 109, 162, 194, 220]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7754090\sections\1_body\1_materials_and_methods\3_ethical_approval_of_the_s\1_p.xml,"Animals were treated according to the ethical guidelines set by Jilin University (Changchun, China) after obtaining approval from the Animal Welfare and Research Ethics Committee of Jilin University. Animal experiments were carried out following internationally accepted guidelines for animal care (EEC Directive of 1986; 86/609/EEC).",['Ethics Committee of'],1,"['Animals were treated according to the ethical guidelines set by Jilin University (Changchun, China) after obtaining approval from the Animal Welfare and Research Ethics Committee of Jilin University.']","[[Jilin University, Changchun, China, Jilin University]]","[['ORG', 'GPE', 'GPE', 'ORG']]","[[64, 82, 93, 182]]","[[80, 91, 98, 198]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7758349\sections\1_body\1_materials_and_methods\2_patients_and_tissue_speci\1_p.xml,"A total of 59 ESCC patients who received platinum-based regimens were enrolled between Jan 2006 and Dec 2007 from Southwest Hospital (Chongqing, China). The enrolled patients met the following eligibility criteria: histological or cytological confirmation of esophageal squamous cell carcinoma, presence of measurable disease, no second malignancies, and availability of adequate diagnostic tumor tissues. The clinicopathologic features of these patients are summarized in   Supplementary Table S1 . Overall survival (OS) was defined as the time between the onset of chemotherapy and the date of the last follow up or death from any cause. Ethical oversight and approval were obtained from the Institutional Review Board of Southwest Hospital, and written informed consent was obtained from all patients.",['Institutional Review Board of'],1,"['Ethical oversight and approval were obtained from the Institutional Review Board of Southwest Hospital, and written informed consent was obtained from all patients.']",[[the Institutional Review Board of Southwest Hospital]],[['ORG']],[[50]],[[102]],[['Institutional Review Board of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7758349\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Institutional Review Board of Southwest Hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by Committee on the Ethics of Animal Experiments of the Shenyang Pharmaceutical University.,['Institutional Review Board of'],1,['The studies involving human participants were reviewed and approved by the Institutional Review Board of Southwest Hospital.'],[[the Institutional Review Board of Southwest Hospital]],[['ORG']],[[71]],[[123]],[['Institutional Review Board of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7759411\sections\1_body\1_2__materials_and_methods\7_2_7__animals_and_ami_indu\2_p.xml,Approval for animal experimentation was obtained from the Ethics Committee of Peking University Shenzhen Hospital. Chinese laws relating to the care and treatment of animals were followed strictly throughout the study and complied with Animal Research: Reporting of In Vivo Experiments (ARRIVE) guidelines.,['Ethics Committee of'],1,['Approval for animal experimentation was obtained from the Ethics Committee of Peking University Shenzhen Hospital.'],[[the Ethics Committee of Peking University Shenzhen Hospital]],[['ORG']],[[54]],[[113]],[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7766508\sections\1_body\3_4__materials_and_methods\1_4_1__cell_culture__fresh_\2_p.xml,"The primary GBM tumor samples were derived from the operation room of the department of neurosurgery (Düsseldorf, Germany) and were snap-frozen in liquid nitrogen until the preparation of lysates. All subjects gave their informed consent for inclusion before their participation in the study. The study was conducted in accordance with the Declaration of Helsinki, and the protocol was approved by the Ethics Committee of the Medical Faculty of the Heinrich-Heine University of Duesseldorf (#2019-484-FmB). ",['Ethics Committee of'],1,"['The study was conducted in accordance with the Declaration of Helsinki, and the protocol was approved by the Ethics Committee of the Medical Faculty of the Heinrich-Heine University of Duesseldorf (#2019-484-FmB).']","[[the Ethics Committee of, the Medical Faculty of the Heinrich-Heine University of Duesseldorf]]","[['ORG', 'ORG']]","[[105, 129]]","[[128, 196]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7767274\sections\1_body\3_4__materials_and_methods\1_4_1__mice\1_p.xml,"Six- to 10-week-old C57BL/6J wild-type mice (Sankyo Labo Service Corporation, Tokyo, Japan),   Cdkn2a  −/−  mice (B6.129-  Cdkn2a   tm1Rdp  ; National Cancer Institute, Frederick, MD, USA), and nude mice (CAnN.Cg-  Foxn1   nu  /CrlCrlj) (CLEA Japan, Tokyo, Japan) were used for this study. All animal procedures were conducted under guidelines approved by the ethics committee of Keio University School of Medicine (approval number 15019).",['ethics committee of'],1,['All animal procedures were conducted under guidelines approved by the ethics committee of Keio University School of Medicine (approval number 15019).'],[[Keio University School of Medicine]],[['ORG']],[[90]],[[124]],[['ethics committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7773587\sections\1_body\1_methods\2_animals\2_p.xml,"The use of animals in this study was approved by the Animal Care and Use Committee of Sapporo Medical University, and all procedures were carried out in accordance with institutional guidelines. Male spontaneously hypertensive rats (stroke prone) (n = 66) and Wistar Kyoto (n = 17) rats (control), used in this study at 21 weeks of age. SHR/Izm (SHRSP/Izm, WKY/Izm, etc.) are provided (supplied) from the Disease Model Cooperative.",['Animal Care and Use Committee of'],1,"['The use of animals in this study was approved by the Animal Care and Use Committee of Sapporo Medical University, and all procedures were carried out in accordance with institutional guidelines.']",[[Sapporo Medical University]],[['ORG']],[[86]],[[112]],[['Animal Care and Use Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7773770\sections\1_body\5_ethics_statement\1_p.xml,The animal study was reviewed and approved by the Ethics Committee of Xiangya Hospital.,['Ethics Committee of'],1,['The animal study was reviewed and approved by the Ethics Committee of Xiangya Hospital.'],[[the Ethics Committee of Xiangya Hospital]],[['ORG']],[[46]],[[86]],[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7785384\sections\1_body\1_2__materials_and_methods\5_2_5__isolation_of_human_p\1_p.xml,"Human peripheral blood mononuclear cells (PBMCs) were obtained from the peripheral blood of healthy human donors using the density gradient centrifugation method [  38 ]. The procedures were approved by the Human Research Ethical Committee of the Faculty of Medicine, Chiang Mai University, Thailand (ref. no. NONE-2560-05052). Firstly, 60 mL of whole blood was collected in heparinized tubes (1430 USP units). Furthermore, 15 mL of whole blood was transferred to a new 50 mL sterile tube, and then, 15 mL of phosphate buffer saline (PBS, pH 7.40) was added. Next, the solutions were gently mixed. Subsequently, 15 mL of Ficoll-hypaque (Lymphoprep™) was carefully injected into the bottom of the tube prior to centrifugation at 1500 rpm for 30 min. The PBMC fraction was then collected from the interphase and washed once with sterile PBS. The cell pellets were then resuspended in a red blood cell (RBC) lysing solution for 5 min. After that, the cells were washed twice with sterile PBS and then resuspended at a density of 1 × 10  6  cells/mL in an RPMI 1640 medium with L-glutamine supplemented with 10% fetal bovine serum and 1% penicillin/streptomycin (BioMedia, Singapore). The PBMCs were then cultured at 37°C in a humidified atmosphere with 5% CO  2 .",['Ethical Committee of'],1,"['The procedures were approved by the Human Research Ethical Committee of the Faculty of Medicine, Chiang Mai University, Thailand (ref.']","[[the Human Research Ethical Committee, the Faculty of Medicine, Thailand]]","[['ORG', 'ORG', 'GPE']]","[[32, 72, 120]]","[[68, 95, 128]]",[['Ethical Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7789117\sections\1_body\2_materials_and_methods\2_experimental_animals_and_\1_p.xml,"The experimental procedures were carried out according to the National Institute of Health Guidelines for the Care and Use of Laboratory Animals (NIH Publication No. 8023, revised 1985). The study protocol was approved by the Ethics Committee of Tianjin University of Traditional Chinese Medicine (approval number: TCM-LAEC2019036). Healthy 8-mo-old male SAMP8 and SAMR1 mice were randomly divided into six groups (  n  = 9 each): (1) SAMR1 control group (RC): Catching-grasping stimulation; (2) SAMP8 control group (PC): Catching-grasping stimulation; (3) SAMP8 sham operation group (PS): 15 d of catching-grasping stimulation before sham transplantation surgery, and another 15 d of catching-grasping stimulation post-surgery; (4) SAMP8 NSC transplantation group (PT): 15 d of catching-grasping stimulation before NSC transplantation surgery, and another 15 d of catching-grasping stimulation post-surgery; (5) SAMP8 NSC transplantation with acupuncture group (PTA): 15 d of acupuncture intervention before NSC transplantation surgery, and another 15 d of acupuncture intervention post-surgery; and (6) SAMP8 NSC transplantation with non-acupoint acupuncture group (PTN): 15 d of non-acupoint needling intervention before NSC transplantation surgery, and another 15 d of non-acupoint needling intervention post-surgery. The mice were raised under exactly the same conditions and fed freely at 24 ± 2 °C.",['Ethics Committee of'],1,['The study protocol was approved by the Ethics Committee of Tianjin University of Traditional Chinese Medicine (approval number: TCM-LAEC2019036).'],"[[the Ethics Committee of Tianjin University of Traditional Chinese Medicine, TCM-LAEC2019036]]","[['ORG', 'ORG']]","[[35, 128]]","[[109, 143]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7789117\sections\2_back\0_fn-group.xml,"  Institutional animal care and use committee statement: All procedures involving animals were reviewed and approved by the Ethics Committee of Tianjin University of Traditional Chinese Medicine (approval number: TCM-LAEC2019036).    Conflict-of-interest statement: The authors declare that they have no conflict of interest to disclose.    ARRIVE guidelines statement: The authors have read the ARRIVE Guidelines, and the manuscript was prepared and revised according to the ARRIVE Guidelines.    Manuscript source: Invited manuscript    Peer-review started: February 27, 2020    First decision: September 11, 2020    Article in press: October 13, 2020    Specialty type: Cell and tissue engineering    Country/Territory of origin: China    Peer-review report’s scientific quality classification    Grade A (Excellent): A    Grade B (Very good): B, B    Grade C (Good): C    Grade D (Fair): D, D    Grade E (Poor): 0    P-Reviewer: Bolshakova GB, Exbrayat JM, Radenovic L, Schmidt N S-Editor: Gao CC L-Editor: Wang TQ P-Editor: Ma YJ  ",['Ethics Committee of'],1,['Institutional animal care and use committee statement: All procedures involving animals were reviewed and approved by the Ethics Committee of Tianjin University of Traditional Chinese Medicine (approval number: TCM-LAEC2019036).'],"[[the Ethics Committee of Tianjin University of Traditional Chinese Medicine, TCM-LAEC2019036]]","[['ORG', 'ORG']]","[[118, 211]]","[[192, 226]]",[['Ethics Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7795642\sections\2_back\4_notes.xml," Institutional Review Board Statement  Approval for this study was provided by the Institutional Review Board of Columbia University (protocol number: AC-AABF0050), in accordance with the Declaration of Helsinki. ",['Institutional Review Board of'],1,"['Institutional Review Board Statement  Approval for this study was provided by the Institutional Review Board of Columbia University (protocol number: AC-AABF0050), in accordance with the Declaration of Helsinki.']","[[Institutional Review Board, the Institutional Review Board of Columbia University]]","[['ORG', 'ORG']]","[[0, 78]]","[[26, 131]]",[['Institutional Review Board of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7803545\sections\1_body\3_materials_and_methods\9_xenograft_model\1_p.xml,"BALB/c nude mice were purchased from the Laboratory Animal Center of Guangxi Medical University (Nanning, China). CNE-2R, NC and hTERT-shRNA cells were subcutaneously injected into the left groin of nude mice at a dose of 1×10  7 , and 8 nude mice were used in each group. Each nude mouse was labeled with the ear tag. After tumor formation, the long (a) and short (b) diameters of the tumors were measured with an electronic vernier caliper every 3 days, and the tumor volume was calculated according to the formula V=ab  2 /2. When the long tumor diameter had reached approximately 10 mm, the nude mice in each group were randomly divided into 2 subgroups, with 4 in each subgroup, and received 6 MV-X ray irradiation at doses of 0 and 8 Gy. Afterwards, the tumors were further observed for 15 days, and the tumor growth rate was calculated as follows: growth rate=(V  t -V  0 )/V  0 , where V  t  represented the volume at each measurement after irradiation, and V  0  stood for the tumor volume measured before irradiation. The procedures involving animals and their care were approved by the Laboratory Animal Care and Use Committee of the Guangxi Medical University.",['Animal Care and Use Committee of'],1,['The procedures involving animals and their care were approved by the Laboratory Animal Care and Use Committee of the Guangxi Medical University.'],[[the Laboratory Animal Care and Use Committee of the Guangxi Medical University]],[['ORG']],[[65]],[[143]],[['Animal Care and Use Committee of']]
C:\Users\shweata\docanalysis\ethics_statement\../stem_cell_research_300_2020\PMC7810924\sections\1_body\1_materials_and_methods\2_animals\2_p.xml,The guidelines of the National Institution of Health on the humane use and care of laboratory animals were applied on all the animal experiments in this study and the protocols were agreed upon by the Institutes Animal Care and Use Committee of West China Medical School of Sichuan University. A total of 24 adult male Sprague‐Dawley (SD) rats (450‐500 g) were housed for 6 weeks at Animal Center of Sichuan University and prepared to be used for animal experiments. Another Six of 2‐week‐old male SD rats were also prepared for acquiring and isolating BMSCs.,['Animal Care and Use Committee of'],1,['The guidelines of the National Institution of Health on the humane use and care of laboratory animals were applied on all the animal experiments in this study and the protocols were agreed upon by the Institutes Animal Care and Use Committee of West China Medical School of Sichuan University.'],"[[the National Institution of Health, the Institutes Animal Care and Use Committee of West China Medical School of Sichuan University]]","[['ORG', 'ORG']]","[[18, 197]]","[[52, 292]]",[['Animal Care and Use Committee of']]
