,file_path,paragraph,sentence,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
119,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\1_design_of_two_multicistronic_e\2_fig.xml,"Figure 1Schematic representation of multicistronic expression constructs for epidermis-specific engineering of sesquiterpene formation. Two expression constructs were designed within the T-DNA, indicated by the left (LB) and right (RB) borders, of the binary pMCS vector. Both synthetic expression constructs are put under the control of an AtCER5 promoter sequence and inserted between the gateway attachments sites (attB1 and attB2). Each of the multicistronic expression constructs contains the coding sequences for three proteins: a prenyl transferase (AtFPPS or ShzFPPS), a terpene synthase (ShTPS12 or ShSBS), and enhanced green fluorescent protein (eGFP). The three individual coding sequences within both multicistronic expression constructs are linked by a short nucleotide sequence encoding the self-processing foot-and-mouth disease virus 2A oligopeptide (F2A). Other elements located within the T-DNA are the octopine synthase terminator (OCS-t), mannopine synthase promoter (MAS-p), and terminator (MAS-t) and phosphinothricin acetyltransferase (BlpR). The bars above the pC5-FTG and pC5-zFSG constructs indicate their size (in base pairs) and the location of the three primer pairs used for RT-PCR analysis of AtFPPS, ShzFPPS, and eGFP expression.",The three individual coding sequences within both multicistronic expression constructs are linked by a short nucleotide sequence encoding the self-processing foot-and-mouth disease virus 2A oligopeptide (F2A).,"nucleotide, 2A oligopeptide","CHEMICAL, CHEMICAL","109, 187","119, 202",F2A,foot-and-mouth disease virus 2A oligopeptide,26,27
120,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\1_design_of_two_multicistronic_e\2_fig.xml,"Figure 1Schematic representation of multicistronic expression constructs for epidermis-specific engineering of sesquiterpene formation. Two expression constructs were designed within the T-DNA, indicated by the left (LB) and right (RB) borders, of the binary pMCS vector. Both synthetic expression constructs are put under the control of an AtCER5 promoter sequence and inserted between the gateway attachments sites (attB1 and attB2). Each of the multicistronic expression constructs contains the coding sequences for three proteins: a prenyl transferase (AtFPPS or ShzFPPS), a terpene synthase (ShTPS12 or ShSBS), and enhanced green fluorescent protein (eGFP). The three individual coding sequences within both multicistronic expression constructs are linked by a short nucleotide sequence encoding the self-processing foot-and-mouth disease virus 2A oligopeptide (F2A). Other elements located within the T-DNA are the octopine synthase terminator (OCS-t), mannopine synthase promoter (MAS-p), and terminator (MAS-t) and phosphinothricin acetyltransferase (BlpR). The bars above the pC5-FTG and pC5-zFSG constructs indicate their size (in base pairs) and the location of the three primer pairs used for RT-PCR analysis of AtFPPS, ShzFPPS, and eGFP expression.","Other elements located within the T-DNA are the octopine synthase terminator (OCS-t), mannopine synthase promoter (MAS-p), and terminator (MAS-t) and phosphinothricin acetyltransferase (BlpR).","OCS-t, phosphinothricin","CHEMICAL, CHEMICAL","78, 150","83, 166","OCS-t, MAS-p, MAS-t","octopine synthase terminator, mannopine synthase promoter, MAS-p), and terminator","12, 19, 25","13, 20, 26"
121,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\1_design_of_two_multicistronic_e\2_fig.xml,"Figure 1Schematic representation of multicistronic expression constructs for epidermis-specific engineering of sesquiterpene formation. Two expression constructs were designed within the T-DNA, indicated by the left (LB) and right (RB) borders, of the binary pMCS vector. Both synthetic expression constructs are put under the control of an AtCER5 promoter sequence and inserted between the gateway attachments sites (attB1 and attB2). Each of the multicistronic expression constructs contains the coding sequences for three proteins: a prenyl transferase (AtFPPS or ShzFPPS), a terpene synthase (ShTPS12 or ShSBS), and enhanced green fluorescent protein (eGFP). The three individual coding sequences within both multicistronic expression constructs are linked by a short nucleotide sequence encoding the self-processing foot-and-mouth disease virus 2A oligopeptide (F2A). Other elements located within the T-DNA are the octopine synthase terminator (OCS-t), mannopine synthase promoter (MAS-p), and terminator (MAS-t) and phosphinothricin acetyltransferase (BlpR). The bars above the pC5-FTG and pC5-zFSG constructs indicate their size (in base pairs) and the location of the three primer pairs used for RT-PCR analysis of AtFPPS, ShzFPPS, and eGFP expression.","The bars above the pC5-FTG and pC5-zFSG constructs indicate their size (in base pairs) and the location of the three primer pairs used for RT-PCR analysis of AtFPPS, ShzFPPS, and eGFP expression.","pC5-FTG, pC5-zFSG, AtFPPS","CHEMICAL, CHEMICAL, CHEMICAL","19, 31, 158","26, 39, 164",,,,
123,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\2_transient_expression_of_the_mu\2_fig.xml,"Figure 2Transient expression of the multicistronic constructs in tomato leaves. Leaves of the tomato odorless-2 mutant were infiltrated with Agrobacterium carrying the pC5-FTG construct, the pC5-zFSG construct, or the empty pMCS vector (EV). Transcript levels in Agrobacterium infiltrated leaves and odorless-2 control (Od2) leaves were analyzed by RT-PCR utilizing AtFPPS (A), ShzFPPS (B), and eGFP (C) specific primer pairs (see Figure 1 for location). The amplification products indicating AtFPPS (788 bp), ShzFPPS (794 bp), and eGFP (656 bp) expression were separated by agarose gel electrophoresis (size marker in kb indicated with each panel).","Leaves of the tomato odorless-2 mutant were infiltrated with Agrobacterium carrying the pC5-FTG construct, the pC5-zFSG construct, or the empty pMCS vector (EV).",pC5-FTG,CHEMICAL,88,95,EV,empty pMCS vector,25,26
125,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\2_transient_expression_of_the_mu\2_fig.xml,"Figure 2Transient expression of the multicistronic constructs in tomato leaves. Leaves of the tomato odorless-2 mutant were infiltrated with Agrobacterium carrying the pC5-FTG construct, the pC5-zFSG construct, or the empty pMCS vector (EV). Transcript levels in Agrobacterium infiltrated leaves and odorless-2 control (Od2) leaves were analyzed by RT-PCR utilizing AtFPPS (A), ShzFPPS (B), and eGFP (C) specific primer pairs (see Figure 1 for location). The amplification products indicating AtFPPS (788 bp), ShzFPPS (794 bp), and eGFP (656 bp) expression were separated by agarose gel electrophoresis (size marker in kb indicated with each panel).","The amplification products indicating AtFPPS (788 bp), ShzFPPS (794 bp), and eGFP (656 bp) expression were separated by agarose gel electrophoresis (size marker in kb indicated with each panel).",agarose,CHEMICAL,120,127,,,,
127,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\3_epidermis-specific_expression_\2_fig.xml,"Figure 3Tissue-specific expression of the multicistronic constructs. Cross-sections (A) and surface sections (B) of tomato leaves infiltrated with Agrobacterium carrying the pC5-FTG construct, the pC5-zFSG construct, or the empty pMCS vector (EV) were analyzed by light and confocal laser scanning microscopy. Panels show fluorescence of green fluorescent protein (GFP) and chlorophyll autofluorescence (Chl). Scale bars represent 100 μm.","Cross-sections (A) and surface sections (B) of tomato leaves infiltrated with Agrobacterium carrying the pC5-FTG construct, the pC5-zFSG construct, or the empty pMCS vector (EV) were analyzed by light and confocal laser scanning microscopy.",pC5-FTG,CHEMICAL,105,112,EV,empty pMCS vector,31,32
128,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\3_epidermis-specific_expression_\2_fig.xml,"Figure 3Tissue-specific expression of the multicistronic constructs. Cross-sections (A) and surface sections (B) of tomato leaves infiltrated with Agrobacterium carrying the pC5-FTG construct, the pC5-zFSG construct, or the empty pMCS vector (EV) were analyzed by light and confocal laser scanning microscopy. Panels show fluorescence of green fluorescent protein (GFP) and chlorophyll autofluorescence (Chl). Scale bars represent 100 μm.",Panels show fluorescence of green fluorescent protein (GFP) and chlorophyll autofluorescence (Chl).,chlorophyll,CHEMICAL,64,75,"GFP, Chl","green fluorescent protein, chlorophyll autofluorescence","8, 14","9, 15"
130,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\4_sesquiterpene_formation_in_the\2_fig.xml,"Figure 4Accumulation of ShTPS12- and ShSBS-derived sesquiterpenes in tomato leaves expressing the multicistronic constructs. Terpenes were extracted from tomato leaves infiltrated with Agrobacterium carrying the pC5-FTG construct (A), the pC5-zFSG construct (B), or the empty pMCS vector (EV) (C) and were analyzed by GC–MS (total ion chromatograms are shown). ShTPS12-derived sesquiterpenes: 1, β-caryophyllene; 2, α-humulene. ShSBS-derived sesquiterpenes: 3, (−)-endo-α-bergamotene; 4, (+)-α-santalene; 5, (−)-exo-α-bergamotene; 6, (−)-epi-β-santalene; and 7, (+)-endo-β-bergamotene. The total amounts (pmol/cm2 leaf area) of ShTPS12-derived (D) and ShSBS-derived (E) sesquiterpenes were determined in tomato leaves at different time points after the Agrobacterium infiltration. Data are means ± SEM (n = 3).",Figure 4Accumulation of ShTPS12- and ShSBS-derived sesquiterpenes in tomato leaves expressing the multicistronic constructs.,ShTPS12-,CHEMICAL,24,32,,,,
131,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\4_sesquiterpene_formation_in_the\2_fig.xml,"Figure 4Accumulation of ShTPS12- and ShSBS-derived sesquiterpenes in tomato leaves expressing the multicistronic constructs. Terpenes were extracted from tomato leaves infiltrated with Agrobacterium carrying the pC5-FTG construct (A), the pC5-zFSG construct (B), or the empty pMCS vector (EV) (C) and were analyzed by GC–MS (total ion chromatograms are shown). ShTPS12-derived sesquiterpenes: 1, β-caryophyllene; 2, α-humulene. ShSBS-derived sesquiterpenes: 3, (−)-endo-α-bergamotene; 4, (+)-α-santalene; 5, (−)-exo-α-bergamotene; 6, (−)-epi-β-santalene; and 7, (+)-endo-β-bergamotene. The total amounts (pmol/cm2 leaf area) of ShTPS12-derived (D) and ShSBS-derived (E) sesquiterpenes were determined in tomato leaves at different time points after the Agrobacterium infiltration. Data are means ± SEM (n = 3).","Terpenes were extracted from tomato leaves infiltrated with Agrobacterium carrying the pC5-FTG construct (A), the pC5-zFSG construct (B), or the empty pMCS vector (EV) (C) and were analyzed by GC–MS (total ion chromatograms are shown).","Terpenes, pC5-FTG","CHEMICAL, CHEMICAL","0, 87","8, 94","construct, construct, EV","construct (B, construct (B, empty pMCS vector","12, 19, 30","13, 20, 31"
132,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\4_sesquiterpene_formation_in_the\2_fig.xml,"Figure 4Accumulation of ShTPS12- and ShSBS-derived sesquiterpenes in tomato leaves expressing the multicistronic constructs. Terpenes were extracted from tomato leaves infiltrated with Agrobacterium carrying the pC5-FTG construct (A), the pC5-zFSG construct (B), or the empty pMCS vector (EV) (C) and were analyzed by GC–MS (total ion chromatograms are shown). ShTPS12-derived sesquiterpenes: 1, β-caryophyllene; 2, α-humulene. ShSBS-derived sesquiterpenes: 3, (−)-endo-α-bergamotene; 4, (+)-α-santalene; 5, (−)-exo-α-bergamotene; 6, (−)-epi-β-santalene; and 7, (+)-endo-β-bergamotene. The total amounts (pmol/cm2 leaf area) of ShTPS12-derived (D) and ShSBS-derived (E) sesquiterpenes were determined in tomato leaves at different time points after the Agrobacterium infiltration. Data are means ± SEM (n = 3).","ShTPS12-derived sesquiterpenes: 1, β-caryophyllene; 2, α-humulene.","ShTPS12-derived sesquiterpenes, 1, β-caryophyllene; 2, α-humulene","CHEMICAL, CHEMICAL","0, 32","30, 65",,,,
133,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\4_sesquiterpene_formation_in_the\2_fig.xml,"Figure 4Accumulation of ShTPS12- and ShSBS-derived sesquiterpenes in tomato leaves expressing the multicistronic constructs. Terpenes were extracted from tomato leaves infiltrated with Agrobacterium carrying the pC5-FTG construct (A), the pC5-zFSG construct (B), or the empty pMCS vector (EV) (C) and were analyzed by GC–MS (total ion chromatograms are shown). ShTPS12-derived sesquiterpenes: 1, β-caryophyllene; 2, α-humulene. ShSBS-derived sesquiterpenes: 3, (−)-endo-α-bergamotene; 4, (+)-α-santalene; 5, (−)-exo-α-bergamotene; 6, (−)-epi-β-santalene; and 7, (+)-endo-β-bergamotene. The total amounts (pmol/cm2 leaf area) of ShTPS12-derived (D) and ShSBS-derived (E) sesquiterpenes were determined in tomato leaves at different time points after the Agrobacterium infiltration. Data are means ± SEM (n = 3).","ShSBS-derived sesquiterpenes: 3, (−)-endo-α-bergamotene; 4, (+)-α-santalene; 5, (−)-exo-α-bergamotene; 6, (−)-epi-β-santalene; and 7, (+)-endo-β-bergamotene.","ShSBS-derived sesquiterpenes, 3, (−)-endo-α-bergamotene, 4, (+)-α-santalene, 5, (−)-exo-α-bergamotene","CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL","0, 30, 57, 77","28, 55, 75, 101",,,,
134,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\4_sesquiterpene_formation_in_the\2_fig.xml,"Figure 4Accumulation of ShTPS12- and ShSBS-derived sesquiterpenes in tomato leaves expressing the multicistronic constructs. Terpenes were extracted from tomato leaves infiltrated with Agrobacterium carrying the pC5-FTG construct (A), the pC5-zFSG construct (B), or the empty pMCS vector (EV) (C) and were analyzed by GC–MS (total ion chromatograms are shown). ShTPS12-derived sesquiterpenes: 1, β-caryophyllene; 2, α-humulene. ShSBS-derived sesquiterpenes: 3, (−)-endo-α-bergamotene; 4, (+)-α-santalene; 5, (−)-exo-α-bergamotene; 6, (−)-epi-β-santalene; and 7, (+)-endo-β-bergamotene. The total amounts (pmol/cm2 leaf area) of ShTPS12-derived (D) and ShSBS-derived (E) sesquiterpenes were determined in tomato leaves at different time points after the Agrobacterium infiltration. Data are means ± SEM (n = 3).",The total amounts (pmol/cm2 leaf area) of ShTPS12-derived (D) and ShSBS-derived (E) sesquiterpenes were determined in tomato leaves at different time points after the Agrobacterium infiltration.,ShTPS12-derived,CHEMICAL,42,57,,,,
135,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\4_sesquiterpene_formation_in_the\2_fig.xml,"Figure 4Accumulation of ShTPS12- and ShSBS-derived sesquiterpenes in tomato leaves expressing the multicistronic constructs. Terpenes were extracted from tomato leaves infiltrated with Agrobacterium carrying the pC5-FTG construct (A), the pC5-zFSG construct (B), or the empty pMCS vector (EV) (C) and were analyzed by GC–MS (total ion chromatograms are shown). ShTPS12-derived sesquiterpenes: 1, β-caryophyllene; 2, α-humulene. ShSBS-derived sesquiterpenes: 3, (−)-endo-α-bergamotene; 4, (+)-α-santalene; 5, (−)-exo-α-bergamotene; 6, (−)-epi-β-santalene; and 7, (+)-endo-β-bergamotene. The total amounts (pmol/cm2 leaf area) of ShTPS12-derived (D) and ShSBS-derived (E) sesquiterpenes were determined in tomato leaves at different time points after the Agrobacterium infiltration. Data are means ± SEM (n = 3).",Data are means ± SEM (n = 3).,±,CHEMICAL,15,16,,,,
137,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\5_engineered_sesquiterpene_forma\2_fig.xml,"Figure 5Longevity and fecundity of potato aphids on tomato leaves expressing the multicistronic constructs. Longevity (A) and fecundity (B) of Macrosiphum euphorbiae on leaves of the odorless-2 tomato mutant (Od2), and leaves infiltrated with Agrobacterium carrying the empty pMCS vector (EV), the pC5-FTG construct, or the pC5-zFSG construct. Newly emerged aphid nymphs were arrested onto tomato leaves 2 days after Agrobacterium infiltration. Values for longevity (n = 36) and fecundity (n = 12) are presented as means ± SEM. Values of different leaf samples were compared by ANOVA and Tukey’s HSD test, and different letters indicate significant differences (p < 0.05).","Longevity (A) and fecundity (B) of Macrosiphum euphorbiae on leaves of the odorless-2 tomato mutant (Od2), and leaves infiltrated with Agrobacterium carrying the empty pMCS vector (EV), the pC5-FTG construct, or the pC5-zFSG construct.","Longevity, pC5-FTG","DISEASE, CHEMICAL","0, 190","9, 197","Od2, EV","odorless-2 tomato mutant, empty pMCS vector","20, 34","21, 35"
139,C:\Users\shweata\docanalysis\terpene_fig\PMC8727598\sections\2_body\2_results\5_engineered_sesquiterpene_forma\2_fig.xml,"Figure 5Longevity and fecundity of potato aphids on tomato leaves expressing the multicistronic constructs. Longevity (A) and fecundity (B) of Macrosiphum euphorbiae on leaves of the odorless-2 tomato mutant (Od2), and leaves infiltrated with Agrobacterium carrying the empty pMCS vector (EV), the pC5-FTG construct, or the pC5-zFSG construct. Newly emerged aphid nymphs were arrested onto tomato leaves 2 days after Agrobacterium infiltration. Values for longevity (n = 36) and fecundity (n = 12) are presented as means ± SEM. Values of different leaf samples were compared by ANOVA and Tukey’s HSD test, and different letters indicate significant differences (p < 0.05).",Values for longevity (n = 36) and fecundity (n = 12) are presented as means ± SEM.,±,CHEMICAL,76,77,,,,
141,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\2_overexpression_of_terpenoid_ge\2_fig.xml,"FIGURE 1Effects of terpenoid gene overexpression on root and shoot growth. (A) Representative photos of chimerical G. max plants with transgenic hairy roots overexpressing terpene synthesis genes. Chimerical soybean plants were generated by transformation with K599 harboring terpene genes including (left to right), GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS. (B) In vivo hairy roots’ fresh weight (gram) and root length (cm). Root phenotypes were examined for at least 10 independent lines (n = 10). Each column represents the mean ± SD of the parameter and statistical significance was based on the Student’s t-test (*P < 0.05; ** P < 0.01; (n.s.), not significant) with GUS-overexpressing hairy roots as control.",FIGURE 1Effects of terpenoid gene overexpression on root and shoot growth.,terpenoid,CHEMICAL,19,28,,,,
142,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\2_overexpression_of_terpenoid_ge\2_fig.xml,"FIGURE 1Effects of terpenoid gene overexpression on root and shoot growth. (A) Representative photos of chimerical G. max plants with transgenic hairy roots overexpressing terpene synthesis genes. Chimerical soybean plants were generated by transformation with K599 harboring terpene genes including (left to right), GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS. (B) In vivo hairy roots’ fresh weight (gram) and root length (cm). Root phenotypes were examined for at least 10 independent lines (n = 10). Each column represents the mean ± SD of the parameter and statistical significance was based on the Student’s t-test (*P < 0.05; ** P < 0.01; (n.s.), not significant) with GUS-overexpressing hairy roots as control.",(A) Representative photos of chimerical G. max plants with transgenic hairy roots overexpressing terpene synthesis genes.,terpene,CHEMICAL,97,104,,,,
143,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\2_overexpression_of_terpenoid_ge\2_fig.xml,"FIGURE 1Effects of terpenoid gene overexpression on root and shoot growth. (A) Representative photos of chimerical G. max plants with transgenic hairy roots overexpressing terpene synthesis genes. Chimerical soybean plants were generated by transformation with K599 harboring terpene genes including (left to right), GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS. (B) In vivo hairy roots’ fresh weight (gram) and root length (cm). Root phenotypes were examined for at least 10 independent lines (n = 10). Each column represents the mean ± SD of the parameter and statistical significance was based on the Student’s t-test (*P < 0.05; ** P < 0.01; (n.s.), not significant) with GUS-overexpressing hairy roots as control.","Chimerical soybean plants were generated by transformation with K599 harboring terpene genes including (left to right), GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS.","terpene, SoLINS","CHEMICAL, CHEMICAL","79, 151","86, 157",,,,
146,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\2_overexpression_of_terpenoid_ge\2_fig.xml,"FIGURE 1Effects of terpenoid gene overexpression on root and shoot growth. (A) Representative photos of chimerical G. max plants with transgenic hairy roots overexpressing terpene synthesis genes. Chimerical soybean plants were generated by transformation with K599 harboring terpene genes including (left to right), GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS. (B) In vivo hairy roots’ fresh weight (gram) and root length (cm). Root phenotypes were examined for at least 10 independent lines (n = 10). Each column represents the mean ± SD of the parameter and statistical significance was based on the Student’s t-test (*P < 0.05; ** P < 0.01; (n.s.), not significant) with GUS-overexpressing hairy roots as control.",Each column represents the mean ± SD of the parameter and statistical significance was based on the Student’s t-test (*P < 0.05; ** P < 0.01; (n.s.,±,CHEMICAL,32,33,,,,
147,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\2_overexpression_of_terpenoid_ge\2_fig.xml,"FIGURE 1Effects of terpenoid gene overexpression on root and shoot growth. (A) Representative photos of chimerical G. max plants with transgenic hairy roots overexpressing terpene synthesis genes. Chimerical soybean plants were generated by transformation with K599 harboring terpene genes including (left to right), GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS. (B) In vivo hairy roots’ fresh weight (gram) and root length (cm). Root phenotypes were examined for at least 10 independent lines (n = 10). Each column represents the mean ± SD of the parameter and statistical significance was based on the Student’s t-test (*P < 0.05; ** P < 0.01; (n.s.), not significant) with GUS-overexpressing hairy roots as control.","), not significant) with GUS-overexpressing hairy roots as control.",GUS-overexpressing hairy roots,CHEMICAL,25,55,,,,
149,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\4_overexpression_of_terpenoid_bi\2_fig.xml,"FIGURE 2Effect of terpenoid gene overexpression on soybean root nodulation. Roots and nodules were examined at 10th and 20th day after rhizobia inoculated with B. japonicum strain USDA110. Composite plants were generated by transformation with the K599 vector harboring overexpression cassettes for GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS. Roots were inoculated with rhizobia. (A,E) Root and shoot phenotypes of 10 and 20-days-old G. max plants. (B,F) Locations where nodules formed on hairy roots overexpressing 10 and 20-days after rhizobial inoculation. (C,G) Nodules developed on secondary roots. (D,H) Cross-sections of G. max nodules. Photographs in (C,D,G,H) were taken with a DP-73 microscope camera set (Olympus, Tokyo, Japan). Scale bars in (C,D,G,H) = 500 μm.",Roots and nodules were examined at 10th and 20th day after rhizobia inoculated with B. japonicum strain USDA110.,USDA110,DISEASE,104,111,,,,
150,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\4_overexpression_of_terpenoid_bi\2_fig.xml,"FIGURE 2Effect of terpenoid gene overexpression on soybean root nodulation. Roots and nodules were examined at 10th and 20th day after rhizobia inoculated with B. japonicum strain USDA110. Composite plants were generated by transformation with the K599 vector harboring overexpression cassettes for GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS. Roots were inoculated with rhizobia. (A,E) Root and shoot phenotypes of 10 and 20-days-old G. max plants. (B,F) Locations where nodules formed on hairy roots overexpressing 10 and 20-days after rhizobial inoculation. (C,G) Nodules developed on secondary roots. (D,H) Cross-sections of G. max nodules. Photographs in (C,D,G,H) were taken with a DP-73 microscope camera set (Olympus, Tokyo, Japan). Scale bars in (C,D,G,H) = 500 μm.","Composite plants were generated by transformation with the K599 vector harboring overexpression cassettes for GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS.",SoLINS,CHEMICAL,141,147,,,,
155,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\4_overexpression_of_terpenoid_bi\2_fig.xml,"FIGURE 2Effect of terpenoid gene overexpression on soybean root nodulation. Roots and nodules were examined at 10th and 20th day after rhizobia inoculated with B. japonicum strain USDA110. Composite plants were generated by transformation with the K599 vector harboring overexpression cassettes for GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS. Roots were inoculated with rhizobia. (A,E) Root and shoot phenotypes of 10 and 20-days-old G. max plants. (B,F) Locations where nodules formed on hairy roots overexpressing 10 and 20-days after rhizobial inoculation. (C,G) Nodules developed on secondary roots. (D,H) Cross-sections of G. max nodules. Photographs in (C,D,G,H) were taken with a DP-73 microscope camera set (Olympus, Tokyo, Japan). Scale bars in (C,D,G,H) = 500 μm.","(D,H) Cross-sections of G. max nodules.",H,CHEMICAL,3,4,,,,
156,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\4_overexpression_of_terpenoid_bi\2_fig.xml,"FIGURE 2Effect of terpenoid gene overexpression on soybean root nodulation. Roots and nodules were examined at 10th and 20th day after rhizobia inoculated with B. japonicum strain USDA110. Composite plants were generated by transformation with the K599 vector harboring overexpression cassettes for GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS. Roots were inoculated with rhizobia. (A,E) Root and shoot phenotypes of 10 and 20-days-old G. max plants. (B,F) Locations where nodules formed on hairy roots overexpressing 10 and 20-days after rhizobial inoculation. (C,G) Nodules developed on secondary roots. (D,H) Cross-sections of G. max nodules. Photographs in (C,D,G,H) were taken with a DP-73 microscope camera set (Olympus, Tokyo, Japan). Scale bars in (C,D,G,H) = 500 μm.","Photographs in (C,D,G,H) were taken with a DP-73 microscope camera set (Olympus, Tokyo, Japan).","D,G, H","CHEMICAL, CHEMICAL","18, 22","21, 23",,,,
157,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\4_overexpression_of_terpenoid_bi\2_fig.xml,"FIGURE 2Effect of terpenoid gene overexpression on soybean root nodulation. Roots and nodules were examined at 10th and 20th day after rhizobia inoculated with B. japonicum strain USDA110. Composite plants were generated by transformation with the K599 vector harboring overexpression cassettes for GUS (control), SoTPS6, SoNEOD, SoLINS, SoSABS, SoGPS, and SoCINS. Roots were inoculated with rhizobia. (A,E) Root and shoot phenotypes of 10 and 20-days-old G. max plants. (B,F) Locations where nodules formed on hairy roots overexpressing 10 and 20-days after rhizobial inoculation. (C,G) Nodules developed on secondary roots. (D,H) Cross-sections of G. max nodules. Photographs in (C,D,G,H) were taken with a DP-73 microscope camera set (Olympus, Tokyo, Japan). Scale bars in (C,D,G,H) = 500 μm.","Scale bars in (C,D,G,H) = 500 μm.","D,G, H","CHEMICAL, CHEMICAL","17, 21","20, 22",,,,
161,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\4_overexpression_of_terpenoid_bi\3_fig.xml,"FIGURE 3Effects of terpenoid synthesis gene overexpression on root growth and nodule development at 10 and 20 days of rhizobia inoculation. (A) In vivo fresh root weight (gram), and root length (cm), nodule numbers, fresh nodule weight (gram), were examined (n = 10–12). Blue and red columns represent the effect of gene overexpression after 10- and 20-days after rhizobial inoculation. Data is presented as means ± SD and statistical significance is based on Student’s t-test (*P < 0.05; **P < 0.01) with GUS-overexpressing hairy roots as the control. (B) Quantitative RT-PCR for in vivo hairy roots after 10-days from B. japonicum (USDA110) infection. The error bars indicate the SD of three qRT-PCR biological replicates. (C) qRT-PCR for nodules after 10-days from infection. (D) qRT-PCR for in vivo hairy roots after 20-days from infection. (E) qRT-PCR for nodules after 20-days from infection.",Data is presented as means ± SD and statistical significance is based on Student’s t-test (*P < 0.05; **P < 0.01) with GUS-overexpressing hairy roots as the control.,"±, GUS-overexpressing hairy roots","CHEMICAL, CHEMICAL","27, 119","28, 149",,,,
162,C:\Users\shweata\docanalysis\terpene_fig\PMC8733304\sections\2_body\2_results\4_overexpression_of_terpenoid_bi\3_fig.xml,"FIGURE 3Effects of terpenoid synthesis gene overexpression on root growth and nodule development at 10 and 20 days of rhizobia inoculation. (A) In vivo fresh root weight (gram), and root length (cm), nodule numbers, fresh nodule weight (gram), were examined (n = 10–12). Blue and red columns represent the effect of gene overexpression after 10- and 20-days after rhizobial inoculation. Data is presented as means ± SD and statistical significance is based on Student’s t-test (*P < 0.05; **P < 0.01) with GUS-overexpressing hairy roots as the control. (B) Quantitative RT-PCR for in vivo hairy roots after 10-days from B. japonicum (USDA110) infection. The error bars indicate the SD of three qRT-PCR biological replicates. (C) qRT-PCR for nodules after 10-days from infection. (D) qRT-PCR for in vivo hairy roots after 20-days from infection. (E) qRT-PCR for nodules after 20-days from infection.",(B) Quantitative RT-PCR for in vivo hairy roots after 10-days from B. japonicum (USDA110) infection.,infection,DISEASE,90,99,,,,
